	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	24	0.444444444444444	0	0
2	162	108	0.666666666666667	23	0.425925925925926	0	0
3	162	108	0.666666666666667	22	0.407407407407407	0	0
4	162	108	0.666666666666667	21	0.388888888888889	0	0
5	162	108	0.666666666666667	18	0.333333333333333	0	0
6	162	108	0.666666666666667	14	0.259259259259259	0	0
7	162	108	0.666666666666667	21	0.388888888888889	0	0
8	162	108	0.666666666666667	15	0.277777777777778	0	0
9	162	108	0.666666666666667	20	0.37037037037037	0	0
10	162	108	0.666666666666667	24	0.444444444444444	0	0
